sample_id,source,raw_text,clean_text,token_count,char_count,sentiment_label,language,label_source,group_id
m2_0000035,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000036,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000037,reviews_metadata_csv,Overpriced compared to similar listings in nearby districts.,overpriced compared to similar listings in nearby districts,8,59,negative,en,metadata_label,grp_bc5e8308a3e3
m2_0000038,reviews_metadata_csv,Les prix reflètent les conditions actuelles du marché sans forte croissance.,les prix reflètent les conditions actuelles du marché sans forte croissance,11,75,neutral,fr,metadata_label,grp_4b29487b4260
m2_0000039,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000040,reviews_metadata_csv,Procédures administratives et juridiques manquant de transparence.,procédures administratives et juridiques manquant de transparence,7,65,negative,fr,metadata_label,grp_3f139ac3e94d
m2_0000041,reviews_metadata_csv,Les prix reflètent les conditions actuelles du marché sans forte croissance.,les prix reflètent les conditions actuelles du marché sans forte croissance,11,75,neutral,fr,metadata_label,grp_4b29487b4260
m2_0000042,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000043,reviews_metadata_csv,Infrastructure is acceptable but requires improvement in some areas.,infrastructure is acceptable but requires improvement in some areas,9,67,neutral,en,metadata_label,grp_d524c19395c0
m2_0000044,reviews_metadata_csv,Market data inconsistency makes valuation difficult.,market data inconsistency makes valuation difficult,6,51,negative,en,metadata_label,grp_af52a9bd721f
m2_0000045,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000046,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000047,reviews_metadata_csv,Les prix reflètent les conditions actuelles du marché sans forte croissance.,les prix reflètent les conditions actuelles du marché sans forte croissance,11,75,neutral,fr,metadata_label,grp_4b29487b4260
m2_0000048,reviews_metadata_csv,Market data inconsistency makes valuation difficult.,market data inconsistency makes valuation difficult,6,51,negative,en,metadata_label,grp_af52a9bd721f
m2_0000049,reviews_metadata_csv,Market data inconsistency makes valuation difficult.,market data inconsistency makes valuation difficult,6,51,negative,en,metadata_label,grp_af52a9bd721f
m2_0000050,reviews_metadata_csv,Market data inconsistency makes valuation difficult.,market data inconsistency makes valuation difficult,6,51,negative,en,metadata_label,grp_af52a9bd721f
m2_0000051,reviews_metadata_csv,Prix excessif par rapport aux biens similaires dans les quartiers voisins.,prix excessif par rapport aux biens similaires dans les quartiers voisins,11,73,negative,fr,metadata_label,grp_801e7e795c00
m2_0000052,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000053,reviews_metadata_csv,Environnement stable avec équilibre entre offre et demande.,environnement stable avec équilibre entre offre et demande,8,58,neutral,fr,metadata_label,grp_b4f934d7ff49
m2_0000054,reviews_metadata_csv,"Zone résidentielle sécurisée proche des écoles, commerces et transports.",zone résidentielle sécurisée proche des écoles commerces et transports,9,70,positive,fr,metadata_label,grp_b60fddad5102
m2_0000055,reviews_metadata_csv,Average residential zone with moderate demand and stable pricing.,average residential zone with moderate demand and stable pricing,9,64,neutral,en,metadata_label,grp_e9bebae659be
m2_0000056,reviews_metadata_csv,Procédures administratives et juridiques manquant de transparence.,procédures administratives et juridiques manquant de transparence,7,65,negative,fr,metadata_label,grp_3f139ac3e94d
m2_0000057,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000058,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000059,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000060,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000061,reviews_metadata_csv,Overpriced compared to similar listings in nearby districts.,overpriced compared to similar listings in nearby districts,8,59,negative,en,metadata_label,grp_bc5e8308a3e3
m2_0000062,reviews_metadata_csv,Stable environment with balanced supply and demand.,stable environment with balanced supply and demand,7,50,neutral,en,metadata_label,grp_0563a3dc6e24
m2_0000063,reviews_metadata_csv,Incohérence des données du marché rendant l’évaluation complexe.,incohérence des données du marché rendant l évaluation complexe,9,63,negative,fr,metadata_label,grp_c93c72a0e4d9
m2_0000064,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000065,reviews_metadata_csv,Infrastructure is acceptable but requires improvement in some areas.,infrastructure is acceptable but requires improvement in some areas,9,67,neutral,en,metadata_label,grp_d524c19395c0
m2_0000066,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000067,reviews_metadata_csv,Infrastructure développée avec bon accès routier et services fiables.,infrastructure développée avec bon accès routier et services fiables,9,68,positive,fr,metadata_label,grp_5168f0b66e0c
m2_0000068,reviews_metadata_csv,Infrastructure deficiencies reduce the overall investment appeal.,infrastructure deficiencies reduce the overall investment appeal,7,64,negative,en,metadata_label,grp_5fd499604e7b
m2_0000069,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000070,reviews_metadata_csv,Stable environment with balanced supply and demand.,stable environment with balanced supply and demand,7,50,neutral,en,metadata_label,grp_0563a3dc6e24
m2_0000071,reviews_metadata_csv,Average residential zone with moderate demand and stable pricing.,average residential zone with moderate demand and stable pricing,9,64,neutral,en,metadata_label,grp_e9bebae659be
m2_0000072,reviews_metadata_csv,Les prix reflètent les conditions actuelles du marché sans forte croissance.,les prix reflètent les conditions actuelles du marché sans forte croissance,11,75,neutral,fr,metadata_label,grp_4b29487b4260
m2_0000073,reviews_metadata_csv,Infrastructure is acceptable but requires improvement in some areas.,infrastructure is acceptable but requires improvement in some areas,9,67,neutral,en,metadata_label,grp_d524c19395c0
m2_0000074,reviews_metadata_csv,Incohérence des données du marché rendant l’évaluation complexe.,incohérence des données du marché rendant l évaluation complexe,9,63,negative,fr,metadata_label,grp_c93c72a0e4d9
m2_0000075,reviews_metadata_csv,Average residential zone with moderate demand and stable pricing.,average residential zone with moderate demand and stable pricing,9,64,neutral,en,metadata_label,grp_e9bebae659be
m2_0000076,reviews_metadata_csv,Market data inconsistency makes valuation difficult.,market data inconsistency makes valuation difficult,6,51,negative,en,metadata_label,grp_af52a9bd721f
m2_0000077,reviews_metadata_csv,Market data inconsistency makes valuation difficult.,market data inconsistency makes valuation difficult,6,51,negative,en,metadata_label,grp_af52a9bd721f
m2_0000078,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000079,reviews_metadata_csv,Infrastructure deficiencies reduce the overall investment appeal.,infrastructure deficiencies reduce the overall investment appeal,7,64,negative,en,metadata_label,grp_5fd499604e7b
m2_0000080,reviews_metadata_csv,Administrative and legal procedures lack transparency.,administrative and legal procedures lack transparency,6,53,negative,en,metadata_label,grp_896e0e4e8dcb
m2_0000081,reviews_metadata_csv,Prices reflect current market conditions without significant growth.,prices reflect current market conditions without significant growth,8,67,neutral,en,metadata_label,grp_1c9804505a18
m2_0000082,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000083,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000084,reviews_metadata_csv,Average residential zone with moderate demand and stable pricing.,average residential zone with moderate demand and stable pricing,9,64,neutral,en,metadata_label,grp_e9bebae659be
m2_0000085,reviews_metadata_csv,Environnement stable avec équilibre entre offre et demande.,environnement stable avec équilibre entre offre et demande,8,58,neutral,fr,metadata_label,grp_b4f934d7ff49
m2_0000086,reviews_metadata_csv,Incohérence des données du marché rendant l’évaluation complexe.,incohérence des données du marché rendant l évaluation complexe,9,63,negative,fr,metadata_label,grp_c93c72a0e4d9
m2_0000087,reviews_metadata_csv,Infrastructure développée avec bon accès routier et services fiables.,infrastructure développée avec bon accès routier et services fiables,9,68,positive,fr,metadata_label,grp_5168f0b66e0c
m2_0000088,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000089,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000090,reviews_metadata_csv,Infrastructure deficiencies reduce the overall investment appeal.,infrastructure deficiencies reduce the overall investment appeal,7,64,negative,en,metadata_label,grp_5fd499604e7b
m2_0000091,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000092,reviews_metadata_csv,Infrastructure développée avec bon accès routier et services fiables.,infrastructure développée avec bon accès routier et services fiables,9,68,positive,fr,metadata_label,grp_5168f0b66e0c
m2_0000093,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000094,reviews_metadata_csv,Prices reflect current market conditions without significant growth.,prices reflect current market conditions without significant growth,8,67,neutral,en,metadata_label,grp_1c9804505a18
m2_0000095,reviews_metadata_csv,Infrastructure développée avec bon accès routier et services fiables.,infrastructure développée avec bon accès routier et services fiables,9,68,positive,fr,metadata_label,grp_5168f0b66e0c
m2_0000096,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000097,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000098,reviews_metadata_csv,Infrastructure développée avec bon accès routier et services fiables.,infrastructure développée avec bon accès routier et services fiables,9,68,positive,fr,metadata_label,grp_5168f0b66e0c
m2_0000099,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000100,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000101,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000102,reviews_metadata_csv,Infrastructure deficiencies reduce the overall investment appeal.,infrastructure deficiencies reduce the overall investment appeal,7,64,negative,en,metadata_label,grp_5fd499604e7b
m2_0000103,reviews_metadata_csv,Overpriced compared to similar listings in nearby districts.,overpriced compared to similar listings in nearby districts,8,59,negative,en,metadata_label,grp_bc5e8308a3e3
m2_0000104,reviews_metadata_csv,Déficiences d’infrastructure réduisant l’intérêt d’investissement.,déficiences d infrastructure réduisant l intérêt d investissement,8,65,negative,fr,metadata_label,grp_5839f0f5c3a4
m2_0000105,reviews_metadata_csv,Les prix reflètent les conditions actuelles du marché sans forte croissance.,les prix reflètent les conditions actuelles du marché sans forte croissance,11,75,neutral,fr,metadata_label,grp_4b29487b4260
m2_0000106,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000107,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000108,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000109,reviews_metadata_csv,Environnement stable avec équilibre entre offre et demande.,environnement stable avec équilibre entre offre et demande,8,58,neutral,fr,metadata_label,grp_b4f934d7ff49
m2_0000110,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000111,reviews_metadata_csv,Procédures administratives et juridiques manquant de transparence.,procédures administratives et juridiques manquant de transparence,7,65,negative,fr,metadata_label,grp_3f139ac3e94d
m2_0000112,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000113,reviews_metadata_csv,Prix excessif par rapport aux biens similaires dans les quartiers voisins.,prix excessif par rapport aux biens similaires dans les quartiers voisins,11,73,negative,fr,metadata_label,grp_801e7e795c00
m2_0000114,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000115,reviews_metadata_csv,Prices reflect current market conditions without significant growth.,prices reflect current market conditions without significant growth,8,67,neutral,en,metadata_label,grp_1c9804505a18
m2_0000116,reviews_metadata_csv,"Zone résidentielle sécurisée proche des écoles, commerces et transports.",zone résidentielle sécurisée proche des écoles commerces et transports,9,70,positive,fr,metadata_label,grp_b60fddad5102
m2_0000117,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000118,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000119,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000120,reviews_metadata_csv,Average residential zone with moderate demand and stable pricing.,average residential zone with moderate demand and stable pricing,9,64,neutral,en,metadata_label,grp_e9bebae659be
m2_0000121,reviews_metadata_csv,"Zone résidentielle sécurisée proche des écoles, commerces et transports.",zone résidentielle sécurisée proche des écoles commerces et transports,9,70,positive,fr,metadata_label,grp_b60fddad5102
m2_0000122,reviews_metadata_csv,Procédures administratives et juridiques manquant de transparence.,procédures administratives et juridiques manquant de transparence,7,65,negative,fr,metadata_label,grp_3f139ac3e94d
m2_0000123,reviews_metadata_csv,Stable environment with balanced supply and demand.,stable environment with balanced supply and demand,7,50,neutral,en,metadata_label,grp_0563a3dc6e24
m2_0000124,reviews_metadata_csv,Prix excessif par rapport aux biens similaires dans les quartiers voisins.,prix excessif par rapport aux biens similaires dans les quartiers voisins,11,73,negative,fr,metadata_label,grp_801e7e795c00
m2_0000125,reviews_metadata_csv,Infrastructure is acceptable but requires improvement in some areas.,infrastructure is acceptable but requires improvement in some areas,9,67,neutral,en,metadata_label,grp_d524c19395c0
m2_0000126,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000127,reviews_metadata_csv,Infrastructure deficiencies reduce the overall investment appeal.,infrastructure deficiencies reduce the overall investment appeal,7,64,negative,en,metadata_label,grp_5fd499604e7b
m2_0000128,reviews_metadata_csv,Average residential zone with moderate demand and stable pricing.,average residential zone with moderate demand and stable pricing,9,64,neutral,en,metadata_label,grp_e9bebae659be
m2_0000129,reviews_metadata_csv,Les prix reflètent les conditions actuelles du marché sans forte croissance.,les prix reflètent les conditions actuelles du marché sans forte croissance,11,75,neutral,fr,metadata_label,grp_4b29487b4260
m2_0000130,reviews_metadata_csv,"Zone résidentielle sécurisée proche des écoles, commerces et transports.",zone résidentielle sécurisée proche des écoles commerces et transports,9,70,positive,fr,metadata_label,grp_b60fddad5102
m2_0000131,reviews_metadata_csv,"Zone résidentielle sécurisée proche des écoles, commerces et transports.",zone résidentielle sécurisée proche des écoles commerces et transports,9,70,positive,fr,metadata_label,grp_b60fddad5102
m2_0000132,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000133,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000134,reviews_metadata_csv,Environnement stable avec équilibre entre offre et demande.,environnement stable avec équilibre entre offre et demande,8,58,neutral,fr,metadata_label,grp_b4f934d7ff49
m2_0000135,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000136,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000137,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000138,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000139,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000140,reviews_metadata_csv,Procédures administratives et juridiques manquant de transparence.,procédures administratives et juridiques manquant de transparence,7,65,negative,fr,metadata_label,grp_3f139ac3e94d
m2_0000141,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000142,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000143,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000144,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000145,reviews_metadata_csv,Average residential zone with moderate demand and stable pricing.,average residential zone with moderate demand and stable pricing,9,64,neutral,en,metadata_label,grp_e9bebae659be
m2_0000146,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000147,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000148,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000149,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000150,reviews_metadata_csv,Overpriced compared to similar listings in nearby districts.,overpriced compared to similar listings in nearby districts,8,59,negative,en,metadata_label,grp_bc5e8308a3e3
m2_0000151,reviews_metadata_csv,Environnement stable avec équilibre entre offre et demande.,environnement stable avec équilibre entre offre et demande,8,58,neutral,fr,metadata_label,grp_b4f934d7ff49
m2_0000152,reviews_metadata_csv,Environnement stable avec équilibre entre offre et demande.,environnement stable avec équilibre entre offre et demande,8,58,neutral,fr,metadata_label,grp_b4f934d7ff49
m2_0000153,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000154,reviews_metadata_csv,Stable environment with balanced supply and demand.,stable environment with balanced supply and demand,7,50,neutral,en,metadata_label,grp_0563a3dc6e24
